Id;Code;BCName;BCfield
1;1;BC 1.0  Rencana Kedatangan Sarana Pengangkut;BC 1.0
2;2;BC 1.1  Inward Manifest dan Outward Manifest;BC 1.1
3;3;BC 1.2  Pemberitahuan barang impor yang diangkut lanjut ;BC 1.2
4;4;BC 1.3  Pemberitahuan pengangkutan barang asal daerah pabean melalui luar daerah pabean;BC 1.3
5;5;BC 2.0  Pemberitahuan Impor Barang (PIB);BC 2.0
6;6;BC 2.1  Pemberitahuan Impor Barang Tertentu (PIBT);BC 2.1
7;7;BC 2.2  Pemberitahuan Impor Barang Penumpang Sarana pengangkut;BC 2.2
8;8;BC 2.2  Pencacahan dan Pembeaan Kiriman Pos: Pemberitahuaan Impor Barang melalui Paket Pos;BC 2.2
9;9;BC 2.2  Kartu Identitas Lintas Batas : pemberitahuan impor bagi penduduk di perbatasan;BC 2.2
10;10;BC 2.3  Pemberitahuan pemasukan barang impor ke Tempat Penimbuan Berikat(TPB);BC 2.3
11;11;BC 2.4  Pemberitahuan penyelesaian barang asal impor yang mendapat KITE;BC 2.4
12;12;BC 2.5  Pemberitahuan impor barangdari Tempat Penimbunan Berikat;BC 2.5
13;13;BC 2.6.1   Pengeluaran barang dari Tempat Penimbunan Berikat dengan Jaminan;BC 2.6.1
14;14;BC 2.6.2   Pemasukan kembali  barang dari Tempat Penimbunan Berikat dengan Jaminan;BC 2.6.2
15;15;BC 2.7       Pengeluaran barang dari Tempat Penimbunan Berikat ke Tempat Penimbunan Berikat lain;BC 2.7
16;16;BC 3.0       Pemberitahuan Ekspor Barang;BC 3.0
17;17;BC 3.1       Pemberitahuan Ekspor Barang Tertentu;BC 3.1
18;18;BC 4.0       Pemasukan barang dari Tempat Penimbunan  Berikat Lain dalam Daerah Pabean;BC 4.0
19;19;BC 4.1       Pengeluaran kembali barang asal  Tempat lain Dalam Daerah Pabean(TLDDP) dari TPB;BC 4.1
20;20;PPFTZ-01 Pengeluaran barang dari Kawasan Bebas ke TLDDP, Kawasan Bebas Ke LDP atau Sebaliknya;PPFTZ-01
21;21;PPFTZ-02 Pengeluaran barang dari TPB ke Kawasan Bebas atau sebaliknya atau antar kawasan berikat;PPFTZ-02
22;22;PPFTZ-03 Pengeluaran barang dari TLDDP ke Kawasan Bebas;PPFTZ-03
